_demopotemea.identification.core.email,_demopotemea.interactionDetails.core.callCenterAgent.callReason,_demopotemea.interactionDetails.core.callCenterAgent.callAgentComments,_demopotemea.interactionDetails.core.callCenterAgent.callResolutionFlag,timestamp,eventType,callId,_demopotemea.identification.core.phoneNumber
ethornally0@yahoo.com,Product Fault,Neutral,0,2025-07-24T10:38:09Z,message.feedback,4870692014239.934,+7 700 468 4677
ahatherleigh1@about.com,Number Query,Negative,1,2025-12-03T19:45:15Z,message.feedback,7971619471108.581,+385 685 593 3742
wtasseler2@ycombinator.com,Product Fault,Neutral,1,2025-08-06T19:06:14Z,message.feedback,0938551627357.431,+55 260 824 5575
cgawkes3@taobao.com,Number Query,Positive,0,2024-01-06T21:18:57Z,message.feedback,6197808373767.924,+1 890 637 4517
ggoodfellow4@constantcontact.com,Number Query,Negative,0,2025-07-26T11:29:36Z,message.feedback,2085352432106.406,+86 983 930 0844
lceci5@wix.com,Product Fault,Positive,1,2025-08-05T14:53:28Z,message.feedback,5291010472935.054,+51 937 951 5930
apressland6@flavors.me,Event Information,Positive,0,2025-09-17T08:20:39Z,message.feedback,9353442804531.470,+62 320 155 5454
bvenny7@blogspot.com,Number Query,Negative,1,2025-10-30T20:42:29Z,message.feedback,9503831703167.748,+7 744 696 2980
jcarnow8@gov.uk,Event Information,Positive,1,2024-01-07T05:20:13Z,message.feedback,8042468304323.733,+62 768 229 8678
dupfold9@photobucket.com,Product Fault,Neutral,0,2025-08-17T05:27:28Z,message.feedback,8001406464481.821,+57 128 380 8758
javesquea@quantcast.com,Invoice Query,Positive,1,2025-07-06T23:18:06Z,message.feedback,3696662152877.719,+420 811 790 6494
felmsb@berkeley.edu,Invoice Query,Positive,0,2024-01-14T07:22:02Z,message.feedback,2756609083907.138,+55 310 195 2638
obrabenderc@ted.com,Order Return,Neutral,0,2025-09-17T04:26:51Z,message.feedback,4646582684245.386,+66 509 494 5071
mdorsayd@amazon.de,Event Information,Neutral,0,2025-12-04T05:55:57Z,message.feedback,5730182497850.986,+52 243 774 7418
cgreenshieldse@zimbio.com,Product Fault,Positive,1,2025-12-06T16:34:20Z,message.feedback,5979354646596.030,+86 572 508 1302
goehmf@patch.com,Delivery Query,Neutral,1,2024-01-15T14:08:31Z,message.feedback,5496313868134.724,+374 832 167 4447
lcocktong@ustream.tv,Event Information,Neutral,0,2025-10-06T15:27:05Z,message.feedback,7589291210650.689,+86 720 288 8543
lfleemanh@vistaprint.com,Number Query,Positive,0,2025-10-31T02:43:50Z,message.feedback,5864564414622.736,+62 584 501 0981
bboyeri@arizona.edu,Invoice Query,Negative,0,2025-10-31T12:07:37Z,message.feedback,5433354754150.132,+354 198 157 0009
awylesj@tinyurl.com,Delivery Query,Neutral,1,2025-08-25T02:50:23Z,message.feedback,9637609759954.746,+964 379 179 7157
ffishpoolek@nyu.edu,Product Fault,Positive,1,2025-07-10T01:45:54Z,message.feedback,3581734305749.870,+66 697 418 4711
nmccotterl@answers.com,Number Query,Negative,1,2025-11-01T14:32:55Z,message.feedback,9177536783382.365,+63 676 783 3593
tpitbladdom@nydailynews.com,Event Information,Positive,1,2025-06-26T20:12:59Z,message.feedback,7474497508395.870,+86 754 787 1980
bmeringtonn@microsoft.com,Event Information,Negative,0,2025-12-31T02:39:44Z,message.feedback,9057726049875.500,+30 184 492 3791
lbuzino@ucsd.edu,Event Information,Neutral,1,2025-09-07T06:21:09Z,message.feedback,1215306370001.859,+55 811 906 7640
sandererp@mozilla.org,Event Information,Positive,1,2025-08-03T16:01:14Z,message.feedback,6621509093434.228,+62 744 174 0281
mdalwoodq@qq.com,Invoice Query,Neutral,0,2025-12-28T23:43:47Z,message.feedback,8872891326484.733,+679 267 416 4821
emckellerr@oaic.gov.au,Delivery Query,Negative,0,2025-11-02T17:32:36Z,message.feedback,1799072094540.421,+420 828 743 1889
ngorgess@soup.io,Delivery Query,Neutral,1,2025-10-24T16:44:08Z,message.feedback,4971727385052.185,+62 712 717 1650
groganst@vk.com,Event Information,Positive,1,2025-07-28T20:23:34Z,message.feedback,3195270541174.019,+52 783 298 5214
geareyu@ft.com,Order Return,Negative,0,2025-08-07T09:53:50Z,message.feedback,2646555252201.285,+7 538 511 7691
aedysonv@timesonline.co.uk,Order Return,Neutral,1,2025-11-14T00:17:48Z,message.feedback,9490688227266.890,+57 836 732 0848
gwilkiew@cmu.edu,Event Information,Positive,1,2025-11-07T10:45:53Z,message.feedback,5454232365415.784,+593 214 330 5518
bhaugerx@jalbum.net,Order Return,Negative,1,2025-12-22T17:54:47Z,message.feedback,7559566435926.775,+93 274 433 1142
